id,title,venue_name,venue_ids,author
meta:br/06101330935 doi:10.1038/s41467-019-14161-7,Neurology-related Protein Biomarkers Are Associated With Cognitive Ability And Brain Volume In Older Age,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Harris, Sarah; Cox, Simon R; Bell, Steven; Marioni, Riccardo E.; Prins, Bram P.; Pattie, Alison; Corley, Janie; Muñoz Maniega, Susana; Valdés Hernández, Maria; Morris, Zoe; John, Sally; Bronson, Paola G; Tucker-Drob, Elliot M.; Starr, John M.; Bastin, Mark E.; Wardlaw, Joanna; Butterworth, Adam S.; Deary, Ian J."
meta:br/06101330632 doi:10.1038/s41467-020-14811-1,Haploid Genetic Screens Identify SPRING/C12ORF49 As A Determinant Of SREBP Signaling And Cholesterol Metabolism,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Loregger, Anke; Raaben, Matthijs; Nieuwenhuis, Joppe; Tan, Josephine Mathilde Elisabeth; Jae, Lucas T.; Van Den Hengel, Lisa G.; Hendrix, Sebastian; Van Den Berg, Marlene; Scheij, Saskia; Song, Ji-Ying; Huijbers, Ivo Johan; Kroese, Lona J.; Ottenhoff, Roelof; Weeghel, Michel; Van De Sluis, Bart; Brummelkamp, Thijn; Zelcer, Noam"
meta:br/06101330026 doi:10.1108/01409171211281255,Stakeholder Relations And Sustainability Practices Of US Small And Medium‐Sized Manufacturers,Management Research Review,meta:br/06101330359 issn:2040-8269,"Theyel, Gregory; Hofmann, Kay"
meta:br/06101330870 doi:10.1038/s41467-020-14703-4,Self-assembled Conjoined-Cages,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Samantray, Sagarika; Krishnaswamy, Shobhana; Chand, Dillip Kumar"
meta:br/06101330953 doi:10.1038/s41467-020-14598-1,Nucleophilic Trifluoromethoxylation Of Alkyl Halides Without Silver,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Li, Yan; Yang, Yang; Xin, Jinrui; Tang, Pingping"
meta:br/06101330702 doi:10.1038/s41467-020-14825-9,Graphene-based Sensing Of Oxygen Transport Through Pulmonary Membranes,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Kim, Mijung; Porras-Gomez, Marilyn; Leal, Cecilia"
meta:br/06101330014 doi:10.1108/01409171311292261,Growth Or Security? Regulatory Focus Determines Work Priorities,Management Research Review,meta:br/06101330359 issn:2040-8269,"Steidle, Anna; Gockel, Christine; Werth, Lioba"
meta:br/06101330973 doi:10.1038/s41467-019-14032-1,mTORC1 Coordinates An Immediate Unfolded Protein Response-Related Transcriptome In Activated B Cells Preceding Antibody Secretion,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Gaudette, B T; Jones, Derek D.; Bortnick, Alexandra; Argon, Yair; Allman, David"
meta:br/06101330083 doi:10.1108/01409171211195161,Investigating Reverse Causality Between Human Resource Management Policies And Organizational Performance In Small Firms,Management Research Review,meta:br/06101330359 issn:2040-8269,"Katou, Anastasia A."
meta:br/06101330577 doi:10.1038/s41467-020-15030-4,Escherichia Coli Adhesion Portion FimH Functions As An Adjuvant For Cancer Immunotherapy,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Zhang, Wei; Xu, Li; Park, Hae-Bin; Hwang, Juyoung; Kwak, Minseok; Lee, Peter Chang-Whan; Liang, Guang; Zhang, Xiaoyan; Xu, Jianqing; Jin, Jun-O"
meta:br/06101330737 doi:10.1038/s41467-020-14527-2,Naturally-occurring Cholesterol Analogues In Lipid Nanoparticles Induce Polymorphic Shape And Enhance Intracellular Delivery Of mRNA,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Patel, Siddharth; Ashwanikumar, N.; Robinson, Ema; Xia, Yan; Mihai, Cosmin; Griffith, Joseph P.; Hou, Shangguo; Esposito, Adam A.; Ketova, Tatiana; Welsher, Kevin; Joyal, John L.; Almarsson, Örn; Sahay, Gaurav"
meta:br/06101330808 doi:10.1038/s41467-019-14143-9,REEP5 Depletion Causes Sarco-Endoplasmic Reticulum Vacuolization And Cardiac Functional Defects,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Lee, Shin-Haw; Hadipour-Lakmehsari, Sina; Murthy, Harsha R.; Gibb, Natalie; Miyake, Tetsuaki; Teng, Allen C. T.; Cosme, Jake; Yu, Jessica C.; Moon, Mark; Lim, SangHyun; Wong, Victoria; Liu, Peter; Billia, Filio; Fernandez-Gonzalez, Rodrigo; Stagljar, Igor; Sharma, Parveen; Kislinger, Thomas; Scott, Ian C.; Gramolini, Anthony"
meta:br/06101330064 doi:10.1108/01409171211210154,Conducting Research Interviews,Management Research Review,meta:br/06101330359 issn:2040-8269,"Rowley, Jennifer"
meta:br/06101330563 doi:10.1038/s41467-020-15037-x,Room-temperature Liquid Diffused Separation Induced Crystallization For High-Quality Perovskite Single Crystals,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Yao, Fang; Peng, Jiali; Li, Ruiming; Li, Wenjing; Gui, Pengbin; Li, Borui; Liu, Chang; Tao, Chen; Lin, Qianqian; Fang, Guojia"
meta:br/06101330025 doi:10.1108/01409171211281282,Organizational Citizenship Behaviour In IT Professionals: An Expectancy Theory Approach,Management Research Review,meta:br/06101330359 issn:2040-8269,"Yung Chou, Shih; Pearson, John M."
meta:br/06101330880 doi:10.1038/s41467-020-14653-x,A Reexamination On How Behavioral Interventions Can Promote Household Action To Limit Climate Change,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Stern, Paul C."
meta:br/06101330539 doi:10.1038/s41467-020-15096-0,A FinFET With One Atomic Layer Channel,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Chen, Mao-Lin; Sun, Xingdan; Liu, Hang; Wang, Hanwen; Zhu, Qianbing; Wang, Shasha; Du, Haifeng; Dong, Baojuan; Zhang, Jing; Sun, Yun; Qiu, Song; Alava, Thomas; Liu, Song; Sun, Dong-Ming; Han, Zheng"
meta:br/06101330597 doi:10.1038/s41467-020-14952-3,Transcriptomic Evidence That Von Economo Neurons Are Regionally Specialized Extratelencephalic-Projecting Excitatory Neurons,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Hodge, Rebecca; Miller, Jeremy A.; Novotny, Mark; Kalmbach, Brian; Ting, Jonathan T.; Bakken, Trygve; Aevermann, Brian D.; Barkan, Eliza R.; Berkowitz-Cerasano, Madeline L.; Cobbs, Charles; Diez-Fuertes, Francisco; Ding, Song-Lin; McCorrison, Jamison; Schork, Nicholas J; Shehata, Soraya; Smith, Kimberly A.; Sunkin, Susan M.; Tran, Danny N.; Venepally, Pratap; Yanny, Anna Marie; Steemers, Frank J.; Phillips, John W.; Bernard, Amy; Koch, Christof; Lasken, Roger S.; Scheuermann, R H; Lein, Ed"
meta:br/06101330739 doi:10.1038/s41467-020-14746-7,A Serine/Threonine Protein Kinase Encoding Gene KERNEL NUMBER PER ROW6 Regulates Maize Grain Yield,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Jia, Haitao; Li, Manfei; Li, Weiya; Liu, Lei; Jian, Yinan; Yang, Zhixing; Shen, Xiaomeng; Ning, Qiang; Du, Yanfang; Zhao, Ran; Jackson, David; Yang, Xiaohong; Zhang, Zuxin"
meta:br/06101330991 doi:10.1038/s41467-019-14052-x,Divergent Mutational Processes Distinguish Hypoxic And Normoxic Tumours,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Bhandari, Vinayak; Pcawg Consortium; Li, Constance H.; Bristow, Robert G; Boutros, P C"
meta:br/06101330854 doi:10.1038/s41467-020-14692-4,A Square-Root Topological Insulator With Non-Quantized Indices Realized With Photonic Aharonov-Bohm Cages,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Kremer, Mark; Petrides, Ioannis; Meyer, Eric; Heinrich, Matthias; Zilberberg, Oded; Szameit, Alexander"
meta:br/06101330086 doi:10.1108/01409171111178774,Building Sustainability In Logistics Operations: A Research Agenda,Management Research Review,meta:br/06101330359 issn:2040-8269,"Dey, Asoke; LaGuardia, Paul; Srinivasan, Mahesh"
meta:br/06101330925 doi:10.1038/s41467-020-14439-1,Near-field Sub-Diffraction Photolithography With An Elastomeric Photomask,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Paik, Sangyoon; Kim, Gwangmook; Chang, Sehwan; Lee, Sooun; Jin, Dana; Jeong, Kwang-Yong; Lee, I Sak; Lee, Jekwan; Moon, Hongjae; Lee, Jaejun; Chang, Kiseok; Choi, Su Seok; Moon, Jeongmin; Jung, Soonshin; Kang, Shinill; Lee, Wooyoung; Choi, Heon-Jin; Choi, Hyunyong; Kim, Hyun Jae; Lee, Jae-Hyun; Cheon, Jinwoo; Kim, Miso; Myoung, Jaemin; Park, Hong-Gyu; Shim, Wooyoung"
meta:br/06101330165 doi:10.1108/01409171011083996,Impact Of RFID Technology Utilization On Operational Performance,Management Research Review,meta:br/06101330359 issn:2040-8269,"Zelbst, Pamela J.; Green, Kenneth W.; Sower, Victor E."
meta:br/06101330770 doi:10.1038/s41467-020-14757-4,Cysteine-specific Protein Multi-Functionalization And Disulfide Bridging Using 3-Bromo-5-Methylene Pyrrolones,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Zhang, Yingqian; Zang, Chuanlong; An, Guoce; Shang, Mengdi; Cui, Zenghui; Chen, Gong; Xi, Zhen; Zhou, Chuanzheng"
meta:br/06101330871 doi:10.1038/s41467-020-14694-2,In Vitro Self-Replication And Multicistronic Expression Of Large Synthetic Genomes,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Libicher, K.; Hornberger, R.; Heymann, Michael; Mutschler, Hannes"
meta:br/06101330562 doi:10.1038/s41467-020-15040-2,Gene Clustering And Copy Number Variation In Alkaloid Metabolic Pathways Of Opium Poppy,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Li, Qiushi; Ramasamy, Sukanya; Singh, Pooja; Hagel, Jillian M.; Dunemann, Sonja M.; Chen, Xue; Chen, Rongji; Yu, Lisa; Tucker, Joseph E.; Facchini, P J; Yeaman, Sam"
meta:br/06101330548 doi:10.1038/s41467-020-14941-6,A Genome-Wide Approach For Identification And Characterisation Of Metabolite-Inducible Systems,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Hanko, Erik K.R.; Paiva, Ana C.; Jonczyk, Magdalene; Abbott, Matthew; Minton, Nigel; Malys, Naglis"
meta:br/06101330099 doi:10.1108/01409171111171474,"The Toyota Crisis: An Economic, Operational And Strategic Analysis Of The Massive Recall",Management Research Review,meta:br/06101330359 issn:2040-8269,"Andrews, Anthony P.; Simon, John; Tian, Feng; Zhao, Jun"
meta:br/06101330785 doi:10.1038/s41467-020-14676-4,Gut Microbiota Mediates Intermittent-Fasting Alleviation Of Diabetes-Induced Cognitive Impairment,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Liu, Zhigang; Dai, Xiaoshuang; Zhang, Hongbo; Shi, Renjie; Hui, Yan; Jin, Xin; Zhang, Wentong; Wang, Luanfeng; Wang, Qianxu; Wang, Danna; Wang, Jia; Tan, Xintong; Ren, Bo; Liu, Xiaoning; Zhao, Tong; Wang, Jiamin; Pan, Junru; Yuan, Tian; Chu, Chuanqi; Lan, Lei; Yin, Fei; Cadenas, Enrique; Shi, Lin; Zhao, Shancen; Liu, Xuebo"
meta:br/06101330530 doi:10.1038/s41467-020-14932-7,Live Cell Imaging Of Single RNA Molecules With Fluorogenic Mango II Arrays,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"D. Cawte, Adam; Unrau, Peter J; Rueda, David"
meta:br/06101330017 doi:10.1108/01409171311292243,Task Structure And Work Outcomes,Management Research Review,meta:br/06101330359 issn:2040-8269,"Billing, Tejinder K.; Bhagat, Rabi S.; Babakus, Emin"
meta:br/06101330764 doi:10.1038/s41467-020-14737-8,Klf5 Acetylation Regulates Luminal Differentiation Of Basal Progenitors In Prostate Development And Regeneration,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Zhang, Baotong; Ci, Xinpei; Tao, Ran; Ni, Jianping Jenny; Xuan, Xiaoyan; King, Jamie L.; Xia, Siyuan; Li, Yixiang; Frierson, Henry F.; Lee, Dong-Kee; Xu, Jianming; Osunkoya, Adeboye O.; Dong, Jin-Tang"
meta:br/06101330754 doi:10.1038/s41467-020-14753-8,Van Der Waals Interfacial Reconstruction In Monolayer Transition-Metal Dichalcogenides And Gold Heterojunctions,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Luo, Ruichun; Xu, Wen Wu; Zhang, Yongzheng; Wang, Ziqian; Wang, Xiaodong; Gao, Yi; Liu, Pan; Chen, Mingwei"
meta:br/06101330172 doi:10.1108/01409171011070297,Perceptions Of Organizational Attractiveness,Management Research Review,meta:br/06101330359 issn:2040-8269,"T. Nadler, Joel; Cundiff, Nicole; Lowery, Meghan R.; Jackson, Stacy"
meta:br/06101330896 doi:10.1038/s41467-020-14683-5,Mahan Excitons In Room-Temperature Methylammonium Lead Bromide Perovskites,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Palmieri, Tania; Baldini, Edoardo; Steinhoff, Alexander; Akrap, Ana; Kollár, Marton; Horváth, Endre; Forró, László; Jahnke, Frank; Chergui, Majed"
meta:br/06101330816 doi:10.1038/s41467-020-14431-9,Stochastic Pulsing Of Gene Expression Enables The Generation Of Spatial Patterns In Bacillus Subtilis Biofilms,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Nadezhdin, Eugene; Murphy, Niall; Dalchau, Neil; Phillips, Andrew; Locke, James"
meta:br/06101330802 doi:10.1038/s41467-020-14763-6,Successive Redox-Mediated Visible-Light Ferrophotovoltaics,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Noguchi, Yuji; Taniguchi, Yuki; Inoue, Ryotaro; Miyayama, Masaru"
meta:br/06101330032 doi:10.1108/01409171211272697,Impact Of ISO 9000 Certification On Firm Performance: Evidence From Brazil,Management Research Review,meta:br/06101330359 issn:2040-8269,"Starke, Francisco; Eunni, Rangamohan V.; Fouto, Nuno; Felisoni De Angelo, Claudio"
meta:br/06101330771 doi:10.1038/s41467-020-14685-3,Salmonella Typhimurium Biofilm Disruption By A Human Antibody That Binds A Pan-Amyloid Epitope On Curli,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Tursi, Sarah A.; Puligedda, Rama Devudu; Szabo, Paul; Nicastro, Lauren; Miller, Amanda L.; Qiu, Connie; Gallucci, Stefania; Relkin, Norman R.; Buttaro, Bettina A.; Dessain, Scott K.; Tükel, Çagla"
meta:br/06101330691 doi:10.1038/s41467-020-14833-9,The Structural Basis Of Fungal Glucuronoyl Esterase Activity On Natural Substrates,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Ernst, Heidi A; Mosbech, Caroline; Langkilde, Annette; Westh, Peter; Meyer, A.S; Agger, Jane Wittrup; Larsen, Sine"
meta:br/06101330192 doi:10.1108/01409171011050217,Performance Measurement Of High Yield Bond Mutual Funds,Management Research Review,meta:br/06101330359 issn:2040-8269,"Trainor, William J."
meta:br/06101330631 doi:10.1038/s41467-020-14955-0,Vertical Eddy Iron Fluxes Support Primary Production In The Open Southern Ocean,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Uchida, Takaya; Balwada, Dhruv; Abernathey, Ryan; McKinley, Galen; K. Smith, Shafer; Lévy, Marina"
meta:br/06101330738 doi:10.1038/s41467-020-14713-2,Pan-cancer Analysis Reveals Cooperativity Of Both Strands Of microRNA That Regulate Tumorigenesis And Patient Survival,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Mitra, Ramkrishna; Adams, Clare M.; Jiang, Wei; Greenawalt, Evan; Eischen, Christine M"
meta:br/06101330789 doi:10.1038/s41467-019-14189-9,Autonomic Ganglionic Injection Of Α-Synuclein Fibrils As A Model Of Pure Autonomic Failure Α-Synucleinopathy,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Wang, Xue-Jing; Ma, Ming-Ming; Zhou, Le-Bo; Jiang, Xiao-Yi; Hao, Miao-Miao; Teng, Robert K. F.; Wu, Erxi; Tang, Bei-Sha; Li, Jia-Yi; Ding, Xue-Bing"
meta:br/06101330645 doi:10.1038/s41467-020-14483-x,Regulatory Sites For Splicing In Human Basal Ganglia Are Enriched For Disease-Relevant Information,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Guelfi, Sebastian; International Parkinson’s Disease Genomics Consortium Ipdgc; D’Sa, Karishma; Botía, Juan; Vandrovcova, Jana; Reynolds, Regina; Zhang, David; Trabzuni, Daniah; Collado-Torres, Leonardo; Thomason, Andrew; Quijada Leyton, Pedro; Taliun, Sarah A. Gagliano; Nalls, Mike A.; Small, Kerrin; Smith, Colin; Ramasamy, Adaikalavan; Hardy, John; Weale, Michael E; Ryten, Mina; Uk Brain Expression Consortium Ukbec"
meta:br/06101330860 doi:10.1038/s41467-020-14767-2,"CEP44 Ensures The Formation Of Bona Fide Centriole Wall, A Requirement For The Centriole-To-Centrosome Conversion",Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Atorino, Enrico; Hata, Shoji; Funaya, Charlotta; Neuner, Annett; Schiebel, Elmar"
meta:br/06101330626 doi:10.1038/s41467-020-14821-z,Annexin A5 As An Immune Checkpoint Inhibitor And Tumor-Homing Molecule For Cancer Treatment,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Kang, Tae Heung; Park, Jung Hwa; Yang, Andrew; Park, Hyun Jin; Lee, Sung Eun; Kim, Young Seob; Jang, Gun-Young; Farmer, Emily; Lam, Brandon; Park, Yeong-Min; Hung, Chien-Fu"
meta:br/06101330820 doi:10.1038/s41467-020-14555-y,Global Resource Potential Of Seasonal Pumped Hydropower Storage For Energy And Water Storage,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Hunt, Julian David; Byers, Edward; Wada, Yoshihide; Parkinson, Simon; Gernaat, David E. H. J.; Langan, Simon; Vuuren, Detlef Van; Riahi, Keywan"
meta:br/06101330195 doi:10.1108/01409171011041901,The Journey From Market Orientation To Firm Performance,Management Research Review,meta:br/06101330359 issn:2040-8269,"Chen-Ho Chao, Mike; Spillan, John E."
meta:br/06101330867 doi:10.1038/s41467-020-14656-8,Glass Transition Temperature From The Chemical Structure Of Conjugated Polymers,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Xie, Renxuan; Weisen, Albree R.; Lee, Youngmin; Aplan, Melissa A.; Fenton, Abigail M.; Masucci, Ashley E.; Kempe, Fabian; Sommer, Michael; Pester, Christian W.; Colby, Ralph H; Gomez, Enrique D."
meta:br/06101330933 doi:10.1038/s41467-020-14612-6,Serum Neurofilament Light Levels In Normal Aging And Their Association With Morphologic Brain Changes,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Khalil, Michael; Pirpamer, Lukas; Hofer, Edith; Voortman, Margarete; Barro, Christian; Leppert, David; Benkert, Pascal; Ropele, Stefan; Enzinger, Christian; Fazekas, Franz; Schmidt, Reinhold; Kuhle, Jens"
meta:br/06101330570 doi:10.1038/s41467-020-14981-y,Marker-free Carotenoid-Enriched Rice Generated Through Targeted Gene Insertion Using CRISPR-Cas9,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Dong, Oliver Xiaoou; Yu, Shu; Jain, Rashmi; Zhang, Nan; Duong, Phat Q.; Butler, Corinne; Li, Yan; Lipzen, Anna; Martin, Joel; Barry, Kerrie; Schmutz, Jeremy; Tian, Li; Ronald, Pamela"
meta:br/06101330201 doi:10.1108/01409171011041910,Factors Of New Venture Performance In Russia,Management Research Review,meta:br/06101330359 issn:2040-8269,"Shirokova, Galina; Shatalov, Alexander"
meta:br/06101330079 doi:10.1108/01409171211190779,Competence Management In Maintenance: Case – Finnish Forest Company,Management Research Review,meta:br/06101330359 issn:2040-8269,"Heilmann, Pia; Heilmann, Jouni"
meta:br/06101330003 doi:10.1108/01409171311315012,Marketing Of Shari'ah‐based Financial Products And Investments In India,Management Research Review,meta:br/06101330359 issn:2040-8269,"Jamaluddin, Nasiruddin"
meta:br/06101330955 doi:10.1038/s41467-020-14528-1,Regulation Of Lipid Saturation Without Sensing Membrane Fluidity,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Ballweg, Stephanie; Sezgin, Erdinc; Doktorova, Milka; Covino, Roberto; Reinhard, John; Wunnicke, Dorith; Hänelt, Inga; Levental, Ilya; Hummer, Gerhard; Ernst, Robert"
meta:br/06101330058 doi:10.1108/01409171211238262,Understanding Managers Of Businesses In Desert Australia,Management Research Review,meta:br/06101330359 issn:2040-8269,"Vilkinas, Tricia; Cartan, Greg; Saebel, Judith"
meta:br/06101330007 doi:10.1108/01409171311306391,The Paths From Service Quality Dimensions To Customer Loyalty,Management Research Review,meta:br/06101330359 issn:2040-8269,"Kitapci, Olgun; Taylan Dortyol, Ibrahim; Yaman, Zührem; Gulmez, Mustafa"
meta:br/06101330068 doi:10.1108/01409171211210109,An Idea Paper On Leadership Theory Integration,Management Research Review,meta:br/06101330359 issn:2040-8269,"Larsson, Gerry; Eid, Jarle"
meta:br/06101330155 doi:10.1108/01409171011092220,Good To Great: Lessons For Managers,Management Research Review,meta:br/06101330359 issn:2040-8269,"Filbeck, Greg; Gorman, Raymond; Parente, Diane; Zhao, Xin"
meta:br/06101330966 doi:10.1038/s41467-019-14264-1,Neo-functionalization Of A Teosinte Branched 1 Homologue Mediates Adaptations Of Upland Rice,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Lyu, Jun; Huang, Liyu; Zhang, Shilai; Zhang, Yesheng; He, Weiming; Zeng, Peng; Zeng, Yan; Huang, Guangfu; Zhang, Jing; Ning, Min; Bao, Yachong; Zhao, Shilei; Fu, Qi; Wade, Len; Chen, Hua; Wang, Wen; Hu, Fengyi"
meta:br/06101330138 doi:10.1108/01409171111117898,The Use Of Strategic Planning Tools And Techniques By Hotels In Jordan,Management Research Review,meta:br/06101330359 issn:2040-8269,"Aldehayyat, Jehad S.; Al Khattab, Adel A.; Anchor, John"
meta:br/06101330571 doi:10.1038/s41467-020-14996-5,Soft Three-Dimensional Network Materials With Rational Bio-Mimetic Designs,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Yan, Dong-Jia; Chang, Jiahui; Zhang, Hang; Liu, Jianxing; Song, Honglie; Xue, Zhaoguo; Zhang, Fan; Zhang, Yihui"
meta:br/06101330819 doi:10.1038/s41467-020-14738-7,Intrinsic Neuronal Properties Represent Song And Error In Zebra Finch Vocal Learning,Nature Communications,meta:br/0623032092 issn:2041-1723 doi:10.1038/41467.2041-1723,"Daou, Arij; Margoliash, Daniel"
