id,title,type,publisher
doi:10.1037/e475852008-001,Studies In Forced Compliance I: The Effect Of Pressure For Compliance On Attitude Change Produced By Face-To-Face Role Playing And Anonymous Essay Writing,dataset,crossref:15
doi:10.5772/51670,Extending The Interaction Repertoire Of FHA And BRCT Domains,book chapter,crossref:3774
doi:10.1037/e496322006-013,Summary Thoughts About Drugs And Violence,dataset,crossref:15
doi:10.1037/e463602006-001,Shadows Of Things Past And Images Of The Future: Lessons For The Insurgencies In Our Midst,dataset,crossref:15
doi:10.1037/e648372011-005,Incidences Of ORI Cases Involving Falsified Images,dataset,crossref:15
doi:10.1037/e713042011-001,Disaster-Related Research And Consultation: Lessons Learned From Two Events,dataset,crossref:15
doi:10.1037/e520942012-037,Attitudes Towards Plagiarism Among Medical Students,dataset,crossref:15
doi:10.1037/e407712005-001,National Institute On Aging: History & Mission,dataset,crossref:7822
doi:10.1037/e638762011-001,Consequences Of Whistleblowing For The Whistleblower In Misconduct In Science Cases: Final Report,dataset,crossref:15
doi:10.1037/e416312005-014,New Books: Bloodlines: From Ethnic Pride To Ethnic Terrorism,dataset,crossref:15
doi:10.1145/2441776.2441791,Mutual Assessment In The Social Programmer Ecosystem,proceedings article,crossref:320
doi:10.1037/e442202004-001,Analyses Of Selected Drug-Related Topics: Findings From Interviews At Four Armed Service Locations.,dataset,crossref:15
doi:10.1037/e549102009-001,The Burden Of Diabetes In Ohio,dataset,crossref:15
doi:10.1515/9783110297751.371,"History As Presence. Time, Tense And Narrative Modes In Thucydides",book chapter,crossref:374
doi:10.1037/e526372006-001,"Retrospective Evaluation Of Two Pioneering Drug Courts: Phase I Findings From Clark County, Nevada, And Multnomah County, Oregon",dataset,crossref:15
doi:10.1037/e685402011-001,What School Board Members Should Know About Testing And Accountability,dataset,crossref:15
doi:10.1037/e649562007-001,Vulnerability And Involvement In Drug Use And Sex Work,dataset,crossref:15
doi:10.1037/e528802006-001,Problem-Oriented Guides For Police Series No. 4: Drug Dealing In Privately Owned Apartment Complexes,dataset,crossref:15
doi:10.1037/e599682007-021,A New Diagnosis For Childhood Trauma?,dataset,crossref:15
doi:10.1037/e485092008-001,Sex Differences In Problem Solving,dataset,crossref:15
doi:10.1037/e421272004-001,"Comparison Of Range Tracking Methods: Tracking To A Fixed Hairline Versus Tracking To A Rotating Hairline. (OSRD, 1944; Publ. Bd., No. 18374.).",dataset,crossref:15
doi:10.1145/2442952.2442957,Using Social Media For Collaborative Species Identification And Occurrence,proceedings article,crossref:320
doi:10.1037/e543722006-002,MedWatch: FDA's 'Heads Up' On Medical Product Safety,dataset,crossref:15
doi:10.1037/e413672004-001,Retention Of Basic Soldiering Skills.,dataset,crossref:15
doi:10.1037/e415682005-002,Timeline; Medicare Prescription Drug Coverage,dataset,crossref:15
doi:10.1037/e711672007-001,Preretirement Process And Its Effect On The Workplace,dataset,crossref:15
doi:10.1037/e577622009-004,Gordon Allport Intergroup Relations Prize,dataset,crossref:15
doi:10.1037/e468632004-001,Parent And Peer Factors Associated With Drug Sampling In Early Adolescence: Implications For Treatment.,dataset,crossref:15
doi:10.1037/e375722004-008,Regulatory Responses To Information Deficiencies In The Market For Mental Health Services,dataset,crossref:15
doi:10.1037/e578882012-023,The Influences Of Automation And Trainee Aptitude On Training Effectiveness,dataset,crossref:15
doi:10.1145/2442576.2442586,Why Ask Why?,proceedings article,crossref:320
doi:10.1037/e673482010-001,The Fair Work Act 2009: An Overview,dataset,crossref:7822
doi:10.1037/e569132006-004,Community Oriented Lawyering: An Emerging Approach To Legal Practice,dataset,crossref:15
doi:10.1037/e438322005-001,Patterns Of Alcohol Use Among Adolescents And Associations With Emotional And Behavioral Problems,dataset,crossref:15
doi:10.1037/e666092011-008,Some Variables Influencing Transfer From Classical Fear Conditioning To Instrumental Avoidance Training,dataset,crossref:15
doi:10.1037/e665402011-121,Orientation Affects Both Structural And Episodic Representations Of 3-D Objects,dataset,crossref:15
doi:10.1037/e515052006-001,Validation And Revision Of The Multidimensional Assessment Of Sex And Aggression,dataset,crossref:15
doi:10.1037/e509312009-001,Perceived Depth Between Familiar Objects,dataset,crossref:15
doi:10.1037/e316632004-001,Background For Community-Level Work On Emotional Well-being In Adolescence: Reviewing The Literature On Contributing Factors,dataset,crossref:7822
doi:10.1037/e542162011-001,Background Brief On Oregon Death With Dignity Act,dataset,crossref:15
doi:10.1037/e536982012-386,Automatic Semantic Activation Following Letter Search Of The Prime,dataset,crossref:15
doi:10.1037/e341942004-001,"Moral Emotions And Psychopathy: Inmates' Shame, Guilt, And Empathy",dataset,crossref:15
doi:10.1037/e516202012-055,"Dopaminergic System Genes (DAT1, DRD2, DRD4) And Their Relation To Personality Traits In Healthy Individuals",dataset,crossref:15
doi:10.1037/e665992011-262,Postcategorical Masking By Tones Or Noise,dataset,crossref:15
doi:10.1145/2441955.2441957,ResearchBroker,proceedings article,crossref:320
doi:10.1037/e578512012-009,Intelligibility Of Bone-Conducted Speech At Different Locations Compared To Air-Conducted Speech,dataset,crossref:15
doi:10.1037/e667002010-001,Interviewing In Action In A Multicultural World,dataset,crossref:15
doi:10.5005/jp/books/10300_3,Omega-3 Fatty Acids In Pregnancy,book chapter,crossref:2914
doi:10.5005/jp/books/11556_24,Food Adulteration,book chapter,crossref:2914
doi:10.1037/e665412011-362,Creature Motion,dataset,crossref:15
doi:10.1037/e584362011-001,An Initial Investigation Of Factors Affecting Multi-Task Performance,dataset,crossref:15
doi:10.1037/e699732011-001,Cluster Analysis Of Neurobehavioral Symptom Inventory Items: Fifteen Years Later,dataset,crossref:15
doi:10.1037/e440922004-001,Protection Afforded Against Impulsive Noise By Voluntary Contraction Of The Middle Ear Muscles.,dataset,crossref:15
doi:10.1037/e596452011-005,Understanding Australian Aboriginal Society: Kinship Systems Or Cultural Categories?,dataset,crossref:15
doi:10.1037/e665992011-195,Serial Position Effects In Incidental Free Recall Following Semantic And Nonsemantic Orienting Tasks,dataset,crossref:15
doi:10.1037/e522552009-001,Relationships Between Behavior Trait Ratings By Peers And Later Officer Performance Of USAF Officer Candidate School Graduates,dataset,crossref:15
doi:10.1037/e322152004-018,National Women's Health Week,dataset,crossref:15
doi:10.1037/e718422007-016,"2007 APA Convention: August 17-20, 2007, San Francisco, CA",dataset,crossref:15
doi:10.1037/e322282004-010,Science Briefs: What Our Words Can Say About Us: Toward A Broader Language Psychology,dataset,crossref:15
doi:10.1037/e465412008-110,Control Orientation As A Personality Dimension Among Alcoholics,dataset,crossref:15
doi:10.1037/e577352012-008,Clinical Information Use By Medical And Nursing Staff In The ICU: Outcomes Of A Coded Tables Analysis,dataset,crossref:15
doi:10.5005/jp/books/11144_3,Chapter-03 Total Knee Arthroplasty In Varus Deformity,book chapter,crossref:2914
doi:10.1037/e660272012-001,"Psychosocial Functioning, Health-Related Quality Of Life, And Family Impact In Galactosemia Patients",dataset,crossref:15
doi:10.1037/e623492007-001,Ethnic Minority Psychiatric Illness Rates In The Community (EMPIRIC): Quantitative Report,dataset,crossref:15
doi:10.1037/e598942010-001,Learner-Centered Psychological Principles: A Framework For School Reform And Redesign,dataset,crossref:15
doi:10.1145/2442882.2442940,Low Cost Video-Based Traffic Congestion Monitoring Using Phones As Sensors,proceedings article,crossref:320
doi:10.1037/e537102012-291,The Creative Costs And Benefits Of Inhibition,dataset,crossref:15
doi:10.1037/e520482009-001,Stability Of The Strong Vocational Interest Blank For Men,dataset,crossref:15
doi:10.1037/e666092011-030,Reinforcement Of Free Social Interaction,dataset,crossref:15
doi:10.1037/e438152008-153,"The ""Ideal"" Supervision Caseloads: A Preliminary Evaluation",dataset,crossref:7822
doi:10.1037/e331902004-002,"Now You See It, Now You Don't",dataset,crossref:15
doi:10.1037/e479322008-001,Aviator Selection 1919-1977,dataset,crossref:15
doi:10.1037/e542762006-003,HHS Blueprint To Boost Breast-Feeding,dataset,crossref:15
doi:10.1037/e304152004-001,Child Development Community Policing: Partnership In A Climate Of Violence,dataset,crossref:15
doi:10.5005/jp/books/11324_10,Laser-assisted Periodontal Therapy,book chapter,crossref:2914
doi:10.5005/jp/books/11213_16,Fetal Central Nervous System,book chapter,crossref:2914
doi:10.1037/e573132009-001,Experimental Approaches To The Study Of Psychological Stress,dataset,crossref:15
doi:10.1037/e301842005-001,Graduate Admissions: A Case Study,dataset,crossref:15
doi:10.1037/e666432011-033,Confusion Matrices In Speech Communication,dataset,crossref:15
doi:10.1109/cgc.2012.9,SEJ: An Even Approach To Multiway Theta-Joins Using MapReduce,proceedings article,crossref:263
doi:10.1037/e508402010-003,UN General Assembly Adopts Declaration On The Rights Of Indigenous Peoples,dataset,crossref:15
doi:10.1037/e414782004-001,Development And Evaluation Of A New ACB And Aptitude Area System.,dataset,crossref:15
doi:10.1037/e643572011-001,Issues In Assessing English Language Learners: English Language Proficiency Measures And Accommodation Uses,dataset,crossref:7822
doi:10.1037/e451522008-001,Ethnic Minorities: Victimisation And Racial Harassment: Findings From The 1988 And 1992 British Crime Surveys: Home Office Research Study 154,dataset,crossref:15
doi:10.1037/e463972006-001,"Circadian Rhythms, Fatigue, And Manpower Scheduling",dataset,crossref:15
doi:10.1037/e463622004-001,Effects Of Variations In Control Deadspace And Gain On Tracking Performance.,dataset,crossref:15
doi:10.1037/e624552011-001,EU Transport Foresight Planning: Comments On How Chronocomplexity Limits Such Strategic Planning Efforts,dataset,crossref:15
doi:10.1037/e610732011-003,Coming Of Age:12 Years Later Coming Of Age In The 1990S: The Eighth-Grade Class Of 1988 12 Years Later,dataset,crossref:15
doi:10.1037/e520002012-001,"Division Dialogue, January-February 2003",dataset,crossref:15
doi:10.1037/e540132008-001,"Gender, Mental Illness, And Crime",dataset,crossref:15
doi:10.1109/cyberneticscom.2012.6381631,A Performance Comparison Of Using Principal Component Analysis And Ant Clustering With Fuzzy C-Means And K-Harmonic Means,proceedings article,crossref:263
doi:10.1037/e317052004-003,Crisis Intervention: Using Active Listening Skills In Negotiations,dataset,crossref:15
doi:10.1037/e656562011-001,Identity Development At The Intersections Of Bisexuality And Polyamory,dataset,crossref:15
doi:10.1037/e499282006-004,Baltimore County: Eastern Technical High School,dataset,crossref:15
doi:10.1037/e413812005-576,Effects Of Gender And Psychopathology On Therapeutic Preferences,dataset,crossref:15
doi:10.1037/e400102004-001,"A Note On The Comparative Validity Of Two Rating Forms. [ Proj. No. NM 16 01 11, Sub. 1].",dataset,crossref:15
doi:10.1037/e590332009-002,"Ask The Field [Denise Bulling, University Of Nebraska Public Policy Center]",dataset,crossref:15
doi:10.1037/e590572011-001,"The Paul Wellstone Mental Health And Addiction Equity Act Of 2007: Hearing Before The Subcommittee On Health Of The Committee On Energy And Commerce, House Of Representatives, 110Th Cong. 1 (2007)",dataset,crossref:7822
doi:10.1037/e446292004-001,Racial Identification Of Verbal Communication: Stereotyping And School Integration.,dataset,crossref:15
doi:10.1037/e552682012-034,Testosterone Level May Be A 'Marker' Of Conflict Behavior In Male And Female Preschool Children,dataset,crossref:15
doi:10.1037/e431882004-001,Effect Of Three-Dimensional Object Type And Density In Simulated Low-Level Flight.,dataset,crossref:15
doi:10.1037/e400182009-003,It's All In Your Mind,dataset,crossref:15
doi:10.1037/e379672004-001,Challenging The Myths,dataset,crossref:15
doi:10.1037/e463452008-142,A Procedure For Training Spouses To Improve Functional Speech Of Aphasic Patients,dataset,crossref:15
doi:10.1037/e454482008-001,"Crime, Policing And Justice: The Experience Of Ethnic Minorities Findings From The 2000 British Crime Survey: Home Office Research Study 223",dataset,crossref:15
doi:10.1037/e608922012-009,Using The Internal Family Systems Model To Heal Trauma,dataset,crossref:15
doi:10.5005/jp/books/11016_5,Applied Genetics,book chapter,crossref:2914
doi:10.5005/jp/books/11565_17,First Aid In Gunshot Injuries,book chapter,crossref:2914
doi:10.1037/e410252004-001,Time Disorientation And Estimation In Isolation.,dataset,crossref:15
doi:10.1109/ths.2012.6459834,Dynamic Generation Of Event Trees For Risk Modelling Of Terrorist Attacks,proceedings article,crossref:263
doi:10.1037/e505722009-001,A Survey Of Auto-Instructional Devices,dataset,crossref:15
doi:10.1037/e517992009-001,The Effect Of Price Information On Product Quality Ratings,dataset,crossref:15
doi:10.1037/e611332007-001,Men Who Father Children With More Than One Woman: A Contemporary Portrait Of Multiple-Partner Fertility,dataset,crossref:15
doi:10.1037/e496472006-001,Structure-Activity Relationships Of MDMA-Like Substances,dataset,crossref:15
doi:10.1037/e548632006-001,Framework For Evaluating Public Health Surveillance Systems For Early Detection Of Outbreaks: Recommendations From The CDC Working Group,dataset,crossref:15
doi:10.1037/e576502009-001,Case Report On Female Catecholamine Excretion In Response To Examination Stress,dataset,crossref:15
doi:10.1037/e550262006-005,Special Topics: Special Considerations For Planning For Mass Violence And Terrorism,dataset,crossref:15
doi:10.5005/jp/books/10076_4,Examination Of The Eye,book chapter,crossref:2914
doi:10.5005/jp/books/11431_11,Classification,book chapter,crossref:2914
doi:10.1037/e665202007-001,"Smoking, Drinking & Drug Use Among Young People In England In 2002",dataset,crossref:15
doi:10.1109/cyberneticscom.2012.6381643,Facial Expressions Reconstruction Of 3D Faces Based On Real Human Data,proceedings article,crossref:263
doi:10.1037/e578082012-013,The Complexity Of Signal Detection In Air Traffic Control Alert Situations,dataset,crossref:15
doi:10.5005/jp/books/11586_36,Drug Interactions,book chapter,crossref:2914
doi:10.1037/e413802005-071,Understanding Burden Of Proof In Civil Cases With Punitive Damage Awards,dataset,crossref:15
doi:10.1201/b13302-6,Approach To Pattern Interpretation In Serum,book chapter,crossref:301
doi:10.5005/jp/books/11591_23,Paediatric Dentistry,book chapter,crossref:2914
doi:10.5005/jp/books/11269_4,Chapter-04 Guidelines And Procedure For Postmortem Examination,book chapter,crossref:2914
doi:10.1201/b12433-7,Structural Aspects Of Repair,book chapter,crossref:301
doi:10.5005/jp/books/11290_4,Assessment And Management Of Pregnancy (Antenatal),book chapter,crossref:2914
doi:10.1037/e552522012-117,Bystander Behaviour Among South Australian And South African Schoolchildren Observing Bullying Behaviour,dataset,crossref:15
doi:10.1037/e579002011-006,Consulting And Business Skills In Industrial-Organizational Psychology Graduate Education,dataset,crossref:15
doi:10.1109/icsenst.2012.6461681,RFID Vapor Sensor: Beyond Identification,proceedings article,crossref:263
doi:10.1037/e552682012-115,Computerised Interaction Simulation In The Assessment Of Aggression-related Response Style And Dispositions,dataset,crossref:15
doi:10.1037/e434672005-001,The ADSS Cost Study: Costs Of Substance Abuse Treatment In The Specialty Sector,dataset,crossref:15
doi:10.1037/e373572004-040,"Informed Consent And APA's New Ethics Code: Enhancing Client Autonomy, Improving Client Care",dataset,crossref:15
doi:10.1037/e471432004-001,Social-psychological Approaches.,dataset,crossref:15
doi:10.1037/e606202009-001,Applying Solution-Focused Brief Therapy In Taiwan: A Study Of Helpful Significant Events And Cultural Implications,dataset,crossref:15
doi:10.5005/jp/books/11486_49,Biochemistry Of AIDS,book chapter,crossref:2914
doi:10.1037/e324222004-004,Men's Multiple Roles And Their Relationship To Psychological Distress,dataset,crossref:15
doi:10.5005/jp/books/11647_15,The Oral Examination,book chapter,crossref:2914
doi:10.1109/cgc.2012.95,Negative Effects Of Incentivised Viral Campaigns For Activity In Social Networks,proceedings article,crossref:263
doi:10.1037/e642272012-001,Predictors Of Father Involvement: Examining The Unique Contributions Of Religion And Spirituality,dataset,crossref:15
doi:10.1037/e506512010-001,"ACT Parent, December 2009",dataset,crossref:15
doi:10.1037/e576292009-001,Antisocial Conduct Of Boys And Autonomic Activity/Reactivity,dataset,crossref:15
doi:10.1037/e556902011-001,Major Areas Of Study,dataset,crossref:7822
doi:10.1037/e305442003-001,Hybrid And Other Modern Gangs,dataset,crossref:15
doi:10.1037/e438262005-001,Reasons For Not Receiving Substance Abuse Treatment,dataset,crossref:15
doi:10.1037/e509802006-001,Ecological Model Of Battered Women's Experience Over Time,dataset,crossref:15
doi:10.1037/e542642006-003,Contents Antibiotic Resistance From Down On The Chicken Farm,dataset,crossref:15
doi:10.5005/jp/books/10256_5,Three-Dimensional Retinal Imaging In Spectral-Domain Optical Coherence Tomography,book chapter,crossref:2914
doi:10.1037/e543752006-001,"Hair Replacement: What Works, What Doesn't",dataset,crossref:15
doi:10.1201/b12433-14,Corrosion Inhibitors,book chapter,crossref:301
doi:10.1037/e433042004-001,The Prediction Of Aircraft Accidents From Pilot Centered Measures.,dataset,crossref:15
doi:10.1037/e531622012-001,Supporting Parents Involved With The Child Welfare And Dependency Court Systems,dataset,crossref:15
doi:10.1037/e416902005-760,Do Psychology And Biology Majors Differ In Their Study Processes And Learning Styles?,dataset,crossref:15
doi:10.1037/e523212004-001,I Talk To Animals: A Portrait Of Samantha Khury,dataset,crossref:15
doi:10.1109/cgc.2012.56,An Approach To History Based Automatic Service Composition,proceedings article,crossref:263
doi:10.1037/e435912004-001,The Concept And Measurement Of The Quality Of School Life.,dataset,crossref:15
